Name,Medium,Year,Creator
"Darth Vader","Star Wars",1977,"George Lucas"
"Sauron","The Fellowship of the Ring",1954,"J.R.R. Tolkien"
"Darth Maul","Star Wars",1999,"George Lucas"
"Yoda","Star Wars",1980,"George Lucas"
"Obi-Wan Kenobi","Star Wars",1977,"George Lucas"
"Harry Potter","Harry Potter",1997,"J.K. Rowling"
"Ron Weasley","Harry Potter",1997,"J.K. Rowling"
"Hermione Granger","Harry Potter",1997,"J.K. Rowling"
"Albus Dumbledore","Harry Potter",1997,"J.K. Rowling"
"Gandalf","The Hobbit",1937,"J.R.R. Tolkien"
"Doctor Stephen Strange","Strange Tales",1963,"Stan Lee & Steve Ditko"
"Ganon","The Legend of Zelda",1986,"Shigeru Miyamoto"